N°,Classe,Année,Année_str,Year,Month
101240002920,4,202412,202412,2024,12
101240002932,8,202412,202412,2024,12
101240002927,8,202412,202412,2024,12
101240003418,2,202412,202412,2024,12
101240002810,3,202412,202412,2024,12
101240003415,4,202412,202412,2024,12
101240003417,8,202412,202412,2024,12
101240003424,4,202412,202412,2024,12
101240003420,8,202412,202412,2024,12
101240003429,8,202412,202412,2024,12
101240003422,8,202412,202412,2024,12
101240003435,4,202412,202412,2024,12
101240003423,4,202412,202412,2024,12
101240003434,4,202412,202412,2024,12
101240003430,8,202412,202412,2024,12
101240003436,8,202412,202412,2024,12
101240003496,8,202412,202412,2024,12
101240003428,8,202412,202412,2024,12
101240003432,3,202412,202412,2024,12
101240003439,4,202412,202412,2024,12
101240003443,4,202412,202412,2024,12
101240003440,8,202412,202412,2024,12
101240003447,1,202412,202412,2024,12
101240003448,8,202412,202412,2024,12
101240003450,4,202412,202412,2024,12
101240003451,4,202412,202412,2024,12
101240003456,8,202412,202412,2024,12
101240003455,8,202412,202412,2024,12
101240003457,8,202412,202412,2024,12
101240003458,8,202412,202412,2024,12
101240003462,4,202412,202412,2024,12
101240003460,4,202412,202412,2024,12
101240003459,8,202412,202412,2024,12
101240003461,8,202412,202412,2024,12
101240003473,8,202412,202412,2024,12
101240003478,4,202412,202412,2024,12
101240003466,8,202412,202412,2024,12
101240003472,4,202412,202412,2024,12
101240003468,9,202412,202412,2024,12
101240003470,4,202412,202412,2024,12
101240003469,4,202412,202412,2024,12
101240003471,4,202412,202412,2024,12
101240003484,1,202412,202412,2024,12
101240003475,3,202412,202412,2024,12
101240003477,2,202412,202412,2024,12
101240003486,4,202412,202412,2024,12
101240003480,8,202412,202412,2024,12
101240003481,4,202412,202412,2024,12
101240003482,4,202412,202412,2024,12
101240003485,4,202412,202412,2024,12
101240003487,1,202412,202412,2024,12
101240003493,8,202412,202412,2024,12
101240003488,8,202412,202412,2024,12
101240003489,4,202412,202412,2024,12
101240003494,4,202412,202412,2024,12
101240003500,5,202412,202412,2024,12
101240003502,2,202412,202412,2024,12
101240003503,8,202412,202412,2024,12
101240003446,4,202412,202412,2024,12
101240003464,8,202412,202412,2024,12
101240003465,8,202412,202412,2024,12
101240003479,8,202412,202412,2024,12
101240003504,8,202412,202412,2024,12
101240003524,2,202412,202412,2024,12
101240003509,8,202412,202412,2024,12
101240003512,8,202412,202412,2024,12
101240003514,8,202412,202412,2024,12
101240003515,4,202412,202412,2024,12
101240003518,8,202412,202412,2024,12
101240003527,4,202412,202412,2024,12
101240003531,8,202412,202412,2024,12
101240003521,4,202412,202412,2024,12
101240003526,8,202412,202412,2024,12
101240003523,8,202412,202412,2024,12
101240003528,4,202412,202412,2024,12
101240003530,4,202412,202412,2024,12
101240003529,4,202412,202412,2024,12
101240003534,4,202412,202412,2024,12
101240003533,9,202412,202412,2024,12
101240003540,4,202412,202412,2024,12
101240003535,2,202412,202412,2024,12
101240003537,4,202412,202412,2024,12
101230003337,4,202412,202412,2024,12
101240003541,4,202412,202412,2024,12
101240003539,4,202412,202412,2024,12
101240003543,4,202412,202412,2024,12
101240003542,8,202412,202412,2024,12
101240003544,8,202412,202412,2024,12
101240003547,6,202412,202412,2024,12
101240003546,8,202412,202412,2024,12
101240003550,8,202412,202412,2024,12
101240003551,4,202412,202412,2024,12
101240003554,4,202412,202412,2024,12
101240003552,4,202412,202412,2024,12
101240003581,1,202412,202412,2024,12
101240003557,8,202412,202412,2024,12
101240003559,8,202412,202412,2024,12
101240003560,8,202412,202412,2024,12
101240003561,4,202412,202412,2024,12
101240003563,4,202412,202412,2024,12
101240003548,4,202412,202412,2024,12
101240003555,8,202412,202412,2024,12
101240003556,3,202412,202412,2024,12
101240003580,4,202412,202412,2024,12
101240003568,8,202412,202412,2024,12
101240003571,8,202412,202412,2024,12
101240003566,8,202412,202412,2024,12
101240003565,4,202412,202412,2024,12
101240003573,3,202412,202412,2024,12
101240003574,8,202412,202412,2024,12
101240003572,4,202412,202412,2024,12
101240003577,8,202412,202412,2024,12
101240003582,8,202412,202412,2024,12
101240003575,2,202412,202412,2024,12
101240003578,8,202412,202412,2024,12
101240003584,4,202412,202412,2024,12
101240003586,4,202412,202412,2024,12
101240003587,3,202412,202412,2024,12
101240003589,4,202412,202412,2024,12
101230003313,2,202412,202412,2024,12
101240003287,4,202412,202412,2024,12
101240003400,3,202412,202412,2024,12
101240003283,4,202412,202412,2024,12
101240003285,4,202412,202412,2024,12
101240003291,3,202412,202412,2024,12
101240003292,4,202412,202412,2024,12
101240003294,4,202412,202412,2024,12
101240003305,4,202412,202412,2024,12
101240003297,8,202412,202412,2024,12
101240003299,4,202412,202412,2024,12
101240003301,8,202412,202412,2024,12
101240003303,8,202412,202412,2024,12
101240003329,6,202412,202412,2024,12
101240003318,8,202412,202412,2024,12
101240003315,8,202412,202412,2024,12
101240003319,4,202412,202412,2024,12
101240003324,8,202412,202412,2024,12
101240003308,4,202412,202412,2024,12
101240003320,4,202412,202412,2024,12
101240003325,1,202412,202412,2024,12
101240003322,8,202412,202412,2024,12
101240003323,8,202412,202412,2024,12
101240003327,8,202412,202412,2024,12
101240003328,8,202412,202412,2024,12
101240003332,4,202412,202412,2024,12
101240003334,8,202412,202412,2024,12
101240003345,4,202412,202412,2024,12
101240003340,2,202412,202412,2024,12
101240003339,8,202412,202412,2024,12
101240003344,4,202412,202412,2024,12
101240003343,4,202412,202412,2024,12
101240003346,8,202412,202412,2024,12
101240003356,8,202412,202412,2024,12
101240003350,4,202412,202412,2024,12
101240003351,4,202412,202412,2024,12
101240003352,4,202412,202412,2024,12
